Prev_Gear,Current_Gear,Speed,Acceleration,Brake,Torque
2,2,67.337,142.4,1.6,462.51
2,2,67.658,142.4,1.6,459.88
2,2,67.976,142.4,1.6,457.28
2,2,68.292,142.4,1.6,454.7
2,2,68.606,142.4,1.6,452.15
2,2,68.917,142.4,1.6,449.63
2,2,69.227,142.4,1.6,447.13
2,2,69.535,142.4,1.6,444.66
2,2,69.84,142.4,1.6,442.22
2,2,70.144,142.4,1.6,439.79
2,2,70.445,142.4,1.6,437.4
2,3,70.744,142.4,1.6,19.207
2,3,70.73,142.4,1.6,31.384
2,3,70.726,142.4,1.6,45.479
2,3,70.727,142.4,1.6,49.597
2,3,70.728,142.4,1.6,53.749
2,3,70.729,142.4,1.6,55.921
2,3,70.731,142.4,1.6,58.093
2,3,70.732,142.4,1.6,59.054
2,3,70.732,142.4,1.6,60.014
2,3,70.733,142.4,1.6,60.915
2,3,70.733,142.4,1.6,61.826
2,3,70.735,142.4,1.6,66.38
2,3,70.741,142.4,1.6,78.234
2,3,70.751,142.4,1.6,91.246
3,3,70.761,142.4,1.6,100.92
3,3,70.773,142.4,1.6,111.11
3,3,70.795,142.4,1.6,126.48
3,3,70.82,142.4,1.6,140.92
3,3,70.852,142.4,1.6,157.1
3,3,70.901,142.4,1.6,178.03
3,3,70.909,142.4,1.6,180.92
3,3,70.949,142.4,1.6,195.35
3,3,70.99,142.4,1.6,209.06
3,3,71.028,142.4,1.6,220.92
3,3,71.11,142.4,1.6,243.54
3,3,71.179,142.4,1.6,260.92
3,3,71.29,142.4,1.6,286.49
3,3,71.359,142.4,1.6,300.92
3,3,71.57,142.4,1.6,340.92
3,3,71.806,142.4,1.6,356.85
3,3,72.043,142.4,1.6,356.44
3,3,72.281,142.4,1.6,356.12
3,3,72.518,142.4,1.6,355.82
3,3,72.754,142.4,1.6,355.52
3,3,72.99,142.4,1.6,355.23
3,3,73.226,142.4,1.6,354.93
3,3,73.461,142.4,1.6,354.64
3,3,73.696,142.4,1.6,354.35
3,3,73.931,142.4,1.6,354.06
3,3,74.165,142.4,1.6,353.65
3,3,74.399,142.4,1.6,353.3
3,3,74.632,142.4,1.6,352.98
3,3,74.865,142.4,1.6,352.68
3,3,75.098,142.4,1.6,352.38
3,3,75.33,142.4,1.6,352.08
3,3,75.562,142.4,1.6,351.78
3,3,75.793,142.4,1.6,351.48
3,3,76.024,142.4,1.6,351.18
3,3,76.254,142.4,1.6,350.88
3,3,76.484,142.4,1.6,350.59
3,3,76.714,142.4,1.6,350.29
3,3,76.944,142.4,1.6,350
3,3,77.173,142.4,1.6,349.7
3,3,77.401,142.4,1.6,349.41
3,3,77.629,142.4,1.6,349.12
3,3,77.857,142.4,1.6,348.83
3,3,78.085,142.4,1.6,348.54
3,3,78.312,142.4,1.6,348.25
3,3,78.538,142.4,1.6,347.96
3,3,78.765,142.4,1.6,347.67
3,3,78.99,142.4,1.6,347.38
3,3,79.216,142.4,1.6,347.1
3,3,79.441,142.4,1.6,346.81
3,3,79.666,142.4,1.6,346.53
3,3,79.89,142.4,1.6,346.24
3,3,80.114,142.4,1.6,345.96
3,3,80.338,142.4,1.6,345.68
3,3,80.561,142.4,1.6,345.4
3,3,80.784,142.4,1.6,345.12
3,3,81.006,142.4,1.6,344.84
3,3,81.228,142.4,1.6,344.56
3,3,81.45,142.4,1.6,344.36
3,3,81.671,142.4,1.6,344.16
